"win_chance","craver","betting_rate","se","kappa_1","kappa_2"
0.2,0,0,0,0.1,0.5
0.2,1,0.064375,0.00204523569621187,0.1,0.5
0.8,0,0.784270833333333,0.00209907283241916,0.1,0.5
0.8,1,0.802083333333333,0.00166013520079392,0.1,0.5
0.2,0,0,0,0.1,0.55
0.2,1,0.0357638888888889,0.00154756143494161,0.1,0.55
0.8,0,0.782890625,0.00210392317555599,0.1,0.55
0.8,1,0.794548611111111,0.00168347745767538,0.1,0.55
0.2,0,0,0,0.1,0.6
0.2,1,0.0138888888888889,0.000975282680909769,0.1,0.6
0.8,0,0.786223958333333,0.00209214940539835,0.1,0.6
0.8,1,0.791145833333333,0.0016937229519677,0.1,0.6
0.2,0,0,0,0.1,0.65
0.2,1,0.00368055555555556,0.000504649475258357,0.1,0.65
0.8,0,0.786041666666667,0.00209279856950224,0.1,0.65
0.8,1,0.786145833333333,0.00170845264256344,0.1,0.65
0.2,0,0,0,0.1,0.7
0.2,1,0.000347222222222222,0.000155260928427875,0.1,0.7
0.8,0,0.787473958333333,0.00208768138990957,0.1,0.7
0.8,1,0.784861111111111,0.00171217595739479,0.1,0.7
0.2,0,0,0,0.2,0.5
0.2,1,0.105486111111111,0.00255991189929102,0.2,0.5
0.8,0,0.784765625,0.00209732553898496,0.2,0.5
0.8,1,0.81328125,0.00162370404954484,0.2,0.5
0.2,0,0,0,0.2,0.55
0.2,1,0.0800694444444444,0.00226175085859859,0.2,0.55
0.8,0,0.781614583333333,0.00210837659523628,0.2,0.55
0.8,1,0.80734375,0.00164328663582498,0.2,0.55
0.2,0,0,0,0.2,0.6
0.2,1,0.0561805555555556,0.00191898380283572,0.2,0.6
0.8,0,0.783046875,0.00210337582545024,0.2,0.6
0.8,1,0.799548611111111,0.00166809008021982,0.2,0.6
0.2,0,0,0,0.2,0.65
0.2,1,0.0359722222222222,0.00155189467147976,0.2,0.65
0.8,0,0.783098958333333,0.00210319327658204,0.2,0.65
0.8,1,0.790434027777778,0.00169584332200861,0.2,0.65
0.2,0,0,0,0.2,0.7
0.2,1,0.0215972222222222,0.00121141130194888,0.2,0.7
0.8,0,0.784921875,0.00209677282788073,0.2,0.7
0.8,1,0.789791666666667,0.00169775010576691,0.2,0.7
0.2,0,0,0,0.3,0.5
0.2,1,0.129027777777778,0.00279368602364114,0.3,0.5
0.8,0,0.78046875,0.00211235047731427,0.3,0.5
0.8,1,0.827048611111111,0.00157586885940121,0.3,0.5
0.2,0,0,0,0.3,0.55
0.2,1,0.108888888888889,0.00259592144812456,0.3,0.55
0.8,0,0.783541666666667,0.00210163961384516,0.3,0.55
0.8,1,0.815868055555556,0.00161497968059393,0.3,0.55
0.2,0,0,0,0.3,0.6
0.2,1,0.0825,0.00229278770876497,0.3,0.6
0.8,0,0.781770833333333,0.00210783286493761,0.3,0.6
0.8,1,0.810972222222222,0.00163139201407194,0.3,0.6
0.2,0,0,0,0.3,0.65
0.2,1,0.0636805555555556,0.00203492907561422,0.3,0.65
0.8,0,0.782786458333333,0.00210428782867266,0.3,0.65
0.8,1,0.801684027777778,0.00166139534947642,0.3,0.65
0.2,0,0,0,0.3,0.7
0.2,1,0.0475694444444444,0.00177384036668517,0.3,0.7
0.8,0,0.785208333333333,0.00209575835767348,0.3,0.7
0.8,1,0.798177083333333,0.00167235084729895,0.3,0.7
0.2,0,0,0,0.4,0.5
0.2,1,0.143125,0.00291843698237577,0.4,0.5
0.8,0,0.782291666666667,0.00210601723639148,0.4,0.5
0.8,1,0.836805555555556,0.00153977580357836,0.4,0.5
0.2,0,0,0,0.4,0.55
0.2,1,0.132638888888889,0.00282663182823832,0.4,0.55
0.8,0,0.786223958333333,0.00209214940539835,0.4,0.55
0.8,1,0.827986111111111,0.00157248246556265,0.4,0.55
0.2,0,0,0,0.4,0.6
0.2,1,0.112638888888889,0.00263468202735895,0.4,0.6
0.8,0,0.782994791666667,0.00210355832489339,0.4,0.6
0.8,1,0.820138888888889,0.00160031275600957,0.4,0.6
0.2,0,0,0,0.4,0.65
0.2,1,0.0895833333333333,0.00237994841033982,0.4,0.65
0.8,0,0.78359375,0.00210145659479595,0.4,0.65
0.8,1,0.812604166666667,0.00162596808105352,0.4,0.65
0.2,0,0,0,0.4,0.7
0.2,1,0.0661805555555556,0.00207171731023053,0.4,0.7
0.8,0,0.783411458333333,0.00210209694472554,0.4,0.7
0.8,1,0.805798611111111,0.00164828365214939,0.4,0.7
0.2,0,0,0,0.5,0.5
0.2,1,0.163680555555556,0.00308331912322622,0.5,0.5
0.8,0,0.785416666666667,0.00209501961193127,0.5,0.5
0.8,1,0.841770833333333,0.00152066214730626,0.5,0.5
0.2,0,0,0,0.5,0.55
0.2,1,0.144375,0.0029290147957627,0.5,0.55
0.8,0,0.783359375,0.00210227979041458,0.5,0.55
0.8,1,0.835902777777778,0.00154319578071317,0.5,0.55
0.2,0,0,0,0.5,0.6
0.2,1,0.128958333333333,0.00279304546423627,0.5,0.6
0.8,0,0.785260416666667,0.00209557374621987,0.5,0.6
0.8,1,0.82703125,0.00157593141045956,0.5,0.6
0.2,0,0,0,0.5,0.65
0.2,1,0.110833333333333,0.00261613781455895,0.5,0.65
0.8,0,0.783515625,0.00210173110478858,0.5,0.65
0.8,1,0.81609375,0.00161421284402007,0.5,0.65
0.2,0,0,0,0.5,0.7
0.2,1,0.0909027777777778,0.00239567321233339,0.5,0.7
0.8,0,0.782916666666667,0.00210383198141429,0.5,0.7
0.8,1,0.810520833333333,0.00163288407074063,0.5,0.7
0.2,0,0,0,0.6,0.5
0.2,1,0.167430555555556,0.00311143997657392,0.6,0.5
0.8,0,0.786145833333333,0.00209242769388979,0.6,0.5
0.8,1,0.846631944444444,0.00150143767564623,0.6,0.5
0.2,0,0,0,0.6,0.55
0.2,1,0.152152777777778,0.00299317822895518,0.6,0.55
0.8,0,0.783072916666667,0.00210328455719508,0.6,0.55
0.8,1,0.837951388888889,0.00153541082220995,0.6,0.55
0.2,0,0,0,0.6,0.6
0.2,1,0.141180555555556,0.00290183164038309,0.6,0.6
0.8,0,0.783072916666667,0.00210328455719508,0.6,0.6
0.8,1,0.83140625,0.00155998314521005,0.6,0.6
0.2,0,0,0,0.6,0.65
0.2,1,0.124027777777778,0.00274687238086287,0.6,0.65
0.8,0,0.782630208333333,0.0021048344381736,0.6,0.65
0.8,1,0.824357638888889,0.00158549543108216,0.6,0.65
0.2,0,0,0,0.6,0.7
0.2,1,0.0991666666666667,0.00249080033678388,0.6,0.7
0.8,0,0.782994791666667,0.00210355832489339,0.6,0.7
0.8,1,0.816215277777778,0.00161379955411116,0.6,0.7
0.2,0,0,0,0.7,0.5
0.2,1,0.177916666666667,0.00318713215960651,0.7,0.5
0.8,0,0.781015625,0.0021104568061364,0.7,0.5
0.8,1,0.849027777777778,0.0014917704556455,0.7,0.5
0.2,0,0,0,0.7,0.55
0.2,1,0.162361111111111,0.0030732879810565,0.7,0.55
0.8,0,0.783567708333333,0.00210154811051482,0.7,0.55
0.8,1,0.844513888888889,0.00150987754799704,0.7,0.55
0.2,0,0,0,0.7,0.6
0.2,1,0.146597222222222,0.00294763517751578,0.7,0.6
0.8,0,0.782447916666667,0.00210547158824032,0.7,0.6
0.8,1,0.836527777777778,0.00154082989081948,0.7,0.6
0.2,0,0,0,0.7,0.65
0.2,1,0.132013888888889,0.0028209801778431,0.7,0.65
0.8,0,0.784765625,0.00209732553898496,0.7,0.65
0.8,1,0.826961805555556,0.00157618155666977,0.7,0.65
0.2,0,0,0,0.7,0.7
0.2,1,0.111736111111111,0.00262543707346329,0.7,0.7
0.8,0,0.781067708333333,0.00211027617538573,0.7,0.7
0.8,1,0.821475694444444,0.00159565340582309,0.7,0.7
0.2,0,0,0,0.8,0.5
0.2,1,0.182986111111111,0.00322223801914777,0.8,0.5
0.8,0,0.788125,0.00208534277901182,0.8,0.5
0.8,1,0.856215277777778,0.00146197648068825,0.8,0.5
0.2,0,0,0,0.8,0.55
0.2,1,0.165069444444444,0.00309380086444198,0.8,0.55
0.8,0,0.787447916666667,0.00208777476988735,0.8,0.55
0.8,1,0.847760416666667,0.00149690034663343,0.8,0.55
0.2,0,0,0,0.8,0.6
0.2,1,0.154791666666667,0.00301432105779899,0.8,0.6
0.8,0,0.784296875,0.00209898098159656,0.8,0.6
0.8,1,0.838940972222222,0.00153161907800377,0.8,0.6
0.2,0,0,0,0.8,0.65
0.2,1,0.140347222222222,0.00289465813662829,0.8,0.65
0.8,0,0.789479166666667,0.00208045305281584,0.8,0.65
0.8,1,0.832256944444444,0.0015568383348756,0.8,0.65
0.2,0,0,0,0.8,0.7
0.2,1,0.118333333333333,0.00269178019931096,0.8,0.7
0.8,0,0.781848958333333,0.00210756083405604,0.8,0.7
0.8,1,0.820486111111111,0.00159910570560773,0.8,0.7
0.2,0,0,0,0.9,0.5
0.2,1,0.186319444444444,0.00324481464425715,0.9,0.5
0.8,0,0.780416666666667,0.00211253054613557,0.9,0.5
0.8,1,0.856284722222222,0.00146168266113467,0.9,0.5
0.2,0,0,0,0.9,0.55
0.2,1,0.171041666666667,0.00313798703494315,0.9,0.55
0.8,0,0.784088541666667,0.00209971544016135,0.9,0.55
0.8,1,0.845989583333333,0.0015040077839924,0.9,0.55
0.2,0,0,0,0.9,0.6
0.2,1,0.1575,0.00303570151927801,0.9,0.6
0.8,0,0.7825,0.00210528960698508,0.9,0.6
0.8,1,0.8378125,0.00153594136195184,0.9,0.6
0.2,0,0,0,0.9,0.65
0.2,1,0.147430555555556,0.00295455764050065,0.9,0.65
0.8,0,0.783880208333333,0.00210044910378226,0.9,0.65
0.8,1,0.83328125,0.00155303254144933,0.9,0.65
0.2,0,0,0,0.9,0.7
