"win_chance","craver","betting_rate","se","alpha","beta","K","lmbda"
0.2,0,0.00458333333333333,0.000689414129346632,0.8,10,0.05,1.8
0.2,1,0.053125,0.00186908749020608,0.8,10,0.05,1.8
0.8,0,0.776510416666667,0.00212589753664949,0.8,10,0.05,1.8
0.8,1,0.788802083333333,0.00170067515677146,0.8,10,0.05,1.8
0.2,0,0.0053125,0.000741958826817756,0.8,10,0.1,1.8
0.2,1,0.103680555555556,0.00254046900659576,0.8,10,0.1,1.8
0.8,0,0.778203125,0.00212013853362495,0.8,10,0.1,1.8
0.8,1,0.801458333333333,0.00166210644810186,0.8,10,0.1,1.8
0.2,0,0.00572916666666667,0.000770344670348074,0.8,10,0.2,1.8
0.2,1,0.205069444444444,0.00336471982426128,0.8,10,0.2,1.8
0.8,0,0.776510416666667,0.00212589753664949,0.8,10,0.2,1.8
0.8,1,0.818784722222222,0.00160499911788153,0.8,10,0.2,1.8
0.2,0,0.000208333333333333,0.000147306239148403,0.8,20,0.05,1.8
0.2,1,0.0504166666666667,0.00182342304891454,0.8,20,0.05,1.8
0.8,0,0.810520833333333,0.00199987507139947,0.8,20,0.05,1.8
0.8,1,0.82109375,0.00159698801829711,0.8,20,0.05,1.8
0.2,0,0.000104166666666667,0.000104166666666667,0.8,20,0.1,1.8
0.2,1,0.0963194444444444,0.00245865893422999,0.8,20,0.1,1.8
0.8,0,0.813645833333333,0.00198713466202493,0.8,20,0.1,1.8
0.8,1,0.831684027777778,0.00155895785205734,0.8,20,0.1,1.8
0.2,0,0,0,0.8,20,0.2,1.8
0.2,1,0.203611111111111,0.00335580848010171,0.8,20,0.2,1.8
0.8,0,0.813385416666667,0.00198820436665212,0.8,20,0.2,1.8
0.8,1,0.851336805555556,0.00148233022241322,0.8,20,0.2,1.8
0.2,0,0,0,0.8,30,0.05,1.8
0.2,1,0.0498611111111111,0.00181387918537515,0.8,30,0.05,1.8
0.8,0,0.839375,0.00187380601236586,0.8,30,0.05,1.8
0.8,1,0.8496875,0.001489085696129,0.8,30,0.05,1.8
0.2,0,0,0,0.8,30,0.1,1.8
0.2,1,0.0994444444444444,0.00249390181882424,0.8,30,0.1,1.8
0.8,0,0.841770833333333,0.00186243124965951,0.8,30,0.1,1.8
0.8,1,0.857517361111111,0.00145644793447829,0.8,30,0.1,1.8
0.2,0,0,0,0.8,30,0.2,1.8
0.2,1,0.199375,0.00332953632894663,0.8,30,0.2,1.8
0.8,0,0.841197916666667,0.0018651649035008,0.8,30,0.2,1.8
